"";"total";"ref";"rest";"arrab";"plan";"spon"
"X1";14;13;14;0;10;4
"X3";11;6;10;1;8;3
"X4";14;11;13;1;10;4
"X6";16;11;15;1;13;3
"X7";19;15;18;1;13;6
"X8";15;13;14;1;10;5
"X9";15;13;15;0;10;5
"X10";19;12;18;1;11;8
"X11";23;18;22;1;15;8
"X13";10;8;10;0;8;2
"X14";17;15;17;0;12;5
"X16";18;12;18;0;8;10
"X17";14;9;13;1;9;5
"X19";13;9;13;0;6;7
"X20";11;8;10;1;5;6
"X21";19;12;18;0;8;10
"X22";16;12;15;0;7;8
"X27";13;12;13;0;4;9
"X28";18;13;17;1;10;8
"X29";18;14;17;1;13;5
"X30";19;16;19;0;11;8
"X36";23;17;23;0;9;14
"X37";17;13;13;3;3;10
"X38";20;18;20;0;14;6
"X39";16;12;12;0;2;10
"X43";18;14;15;1;6;9
"X44";20;15;20;0;10;10
"X45";19;11;19;0;10;9
"X46";11;5;9;1;1;8
"X47";29;22;25;1;11;14
"X48";19;15;15;0;10;5
"X51";16;13;16;0;7;9
"X52";14;7;12;1;3;9
"X53";15;9;14;0;5;9
"X55";18;12;17;1;13;5
"X56";17;11;17;0;7;10
"X57";21;17;20;1;10;11
"X58";18;10;18;0;8;10
"X60";20;16;19;0;10;9
"X61";17;13;16;1;15;2
"X62";16;11;16;0;9;7
"X63";18;12;17;0;7;10
"X65";17;11;17;0;11;6
"X69";17;12;16;1;12;5
"X71";14;12;14;0;11;3
"X74";15;11;11;1;4;7
"X75";14;10;13;1;6;7
"X76";14;8;11;2;5;6
"X79";13;11;12;1;11;2
"X80";22;13;21;0;8;13
"PE10";18;9;17;0;3;14
"PE11";26;21;23;0;9;14
"PE13.1";23;16;20;1;8;12
"PE13.2";17;12;17;0;8;9
"PE14";16;11;15;1;12;4
"PE20";19;16;19;0;13;6
"UECR1";20;16;20;0;15;5
"UECR2";13;10;13;0;12;1
"UECR3";17;16;17;0;13;4
